Stem_diam_mm	Ph1	Ph2	Ph3	Ph4	Ph5	Ph6	Ph7	Ph8
2.6	0	0	1	0	0	0	0	0
6.4	0	0	0	1	0	0	0	0
5.8	0	1	0	0	0	0	0	0
7.59	0	0	0	0	0	0	0	1
5.7	0	1	0	0	0	0	0	0
7.7	1	0	0	0	0	0	0	0
6.2	1	0	0	0	0	0	0	0
5.545	0	0	0	0	0	0	1	0
7.4	1	0	0	0	0	0	0	0
4.975	0	0	0	0	0	0	1	0
6.5	0	0	0	0	0	0	0	1
7.7	0	1	0	0	0	0	0	0
3.9	0	0	0	1	0	0	0	0
6.645	0	0	0	0	1	0	0	0
5	1	0	0	0	0	0	0	0
6.6	0	1	0	0	0	0	0	0
5.1	0	0	1	0	0	0	0	0
5.3	0	1	0	0	0	0	0	0
5.665	0	0	0	0	0	1	0	0
7.405	0	0	0	0	0	0	1	0
8.3	0	1	0	0	0	0	0	0
4.59	0	0	0	0	1	0	0	0
6.03	0	0	0	0	1	0	0	0
7.3	0	0	1	0	0	0	0	0
6.3	0	0	0	1	0	0	0	0
8.1	1	0	0	0	0	0	0	0
5.9	0	1	0	0	0	0	0	0
6.5	0	0	1	0	0	0	0	0
7.745	0	0	0	0	0	0	0	1
5.83	0	0	0	0	1	0	0	0
6	1	0	0	0	0	0	0	0
3.7	0	0	0	1	0	0	0	0
6.8	1	0	0	0	0	0	0	0
14.89	0	0	0	0	0	1	0	0
5.8	0	0	0	1	0	0	0	0
5.02	0	0	0	0	0	0	0	1
9.665	0	0	0	0	0	1	0	0
4.79	0	0	0	0	0	0	1	0
8.29	0	0	0	0	0	0	1	0
8.785	0	0	0	0	0	0	0	1
6.8	0	0	0	0	0	0	1	0
7.53	0	0	0	0	0	0	0	1
6.585	0	0	0	0	0	0	0	1
10.47	0	0	0	0	0	1	0	0
6.7	1	0	0	0	0	0	0	0
9.505	0	0	0	0	1	0	0	0
6.1	0	0	1	0	0	0	0	0
6.5	0	0	1	0	0	0	0	0
5	1	0	0	0	0	0	0	0
6.735	0	0	0	0	0	0	1	0
3.865	0	0	0	0	0	1	0	0
3.94	0	0	0	0	1	0	0	0
5.75	0	0	0	1	0	0	0	0
4.25	0	0	0	0	0	0	0	1
3.03	0	0	0	0	0	0	1	0
6.4	0	0	0	1	0	0	0	0
5.9	0	1	0	0	0	0	0	0
8.1	1	0	0	0	0	0	0	0
7.945	0	0	0	0	0	0	1	0
3.095	0	0	0	0	0	0	1	0
6.3	0	1	0	0	0	0	0	0
6.22	0	0	0	0	0	1	0	0
7.25	0	0	0	1	0	0	0	0
5.4	0	1	0	0	0	0	0	0
8.8	1	0	0	0	0	0	0	0
7.725	0	0	0	0	0	0	0	1
8.18	0	0	0	0	0	0	1	0
4.9	0	0	1	0	0	0	0	0
8.1	1	0	0	0	0	0	0	0
7.405	0	0	0	0	0	1	0	0
4.5	0	0	0	1	0	0	0	0
6.26	0	0	0	0	1	0	0	0
7.1	0	0	1	0	0	0	0	0
9.91	0	0	0	0	0	1	0	0
7.35	0	0	0	1	0	0	0	0
6.195	0	0	0	0	0	0	0	1
7	1	0	0	0	0	0	0	0
6.205	0	0	0	0	1	0	0	0
8.4	0	1	0	0	0	0	0	0
7	0	1	0	0	0	0	0	0
4.84	0	0	0	0	0	0	1	0
8.5	1	0	0	0	0	0	0	0
6.5	0	1	0	0	0	0	0	0
3.9	0	0	1	0	0	0	0	0
7.29	0	0	0	0	0	0	0	1
10.5	0	0	0	1	0	0	0	0
6.1	1	0	0	0	0	0	0	0
6.5	1	0	0	0	0	0	0	0
6.6	0	0	1	0	0	0	0	0
4.3	0	0	0	0	1	0	0	0
5.7	0	0	0	1	0	0	0	0
3.425	0	0	0	0	0	0	1	0
5.5	1	0	0	0	0	0	0	0
4.5	0	0	1	0	0	0	0	0
7.8	0	0	0	1	0	0	0	0
6.6	1	0	0	0	0	0	0	0
9.75	0	0	0	1	0	0	0	0
5.1	1	0	0	0	0	0	0	0
6.4	1	0	0	0	0	0	0	0
6.41	0	0	0	0	0	0	0	1
7.355	0	0	0	0	0	1	0	0
6.3	1	0	0	0	0	0	0	0
5.18	0	0	0	0	0	0	1	0
7.3	0	1	0	0	0	0	0	0
10.2	0	0	0	0	0	0	1	0
8.7	0	0	1	0	0	0	0	0
4.4	0	0	1	0	0	0	0	0
9.95	0	0	0	0	0	1	0	0
5.7	1	0	0	0	0	0	0	0
3.8	0	1	0	0	0	0	0	0
4.105	0	0	0	0	0	0	1	0
7.1	0	0	1	0	0	0	0	0
10.5	1	0	0	0	0	0	0	0
11.635	0	0	0	0	0	0	1	0
9.835	0	0	0	0	0	1	0	0
7.3	0	0	1	0	0	0	0	0
8.25	0	0	0	1	0	0	0	0
5.45	0	0	0	0	0	0	1	0
